ID_TRAM,UTM_IX,UTM_FX,UTM_IY,UTM_FY,LATITUD_I,LONGITUD_I,LATITUD_F,LONGITUD_F,ID_TARIFA,ID_HORARIO,ID_TARIFA1,ID_HORARIO1,TIPUS_TRAM,ADREÇA,COLOR_RGB,PLACES
121," 431392.431"," 431423.359"," 4582793.999"," 4582762.134","41.393750009131","2.179324293132","41.393465656748","2.179697798388",54,13,52,13,"VM","ROGER DE FLOR, 86, C","00FF00",9
121," 431429.843"," 431432.906"," 4582755.541"," 4582752.420","41.393406830145","2.179776092786","41.393378982192","2.179813079245",54,13,52,13,"VM","ROGER DE FLOR, 86, C","00FF00",9
122," 431616.646"," 431584.648"," 4583058.793"," 4583027.978","41.396153953463","2.181975997432","41.39587369886","2.181596769658",54,13,52,13,"VM","AUSIAS MARC, 106, C","00FF00",7
122," 431617.885"," 431579.542"," 4583060.010"," 4583023.084","41.396165019642","2.181990678953","41.395829187007","2.181536253022",54,13,52,13,"VM","AUSIAS MARC, 106, C","00FF00",7
125," 431766.205"," 431775.139"," 4583384.160"," 4583374.800","41.399097053039","2.183728121942","41.399013510842","2.183836035646",54,13,52,13,"VM","LEPANT, 170, C","00FF00",17
125," 431766.379"," 431766.237"," 4583388.728"," 4583384.874","41.399138209187","2.183729688395","41.399103486347","2.183728424234",54,13,52,13,"VM","LEPANT, 170, C","00FF00",17
125," 431779.664"," 431828.104"," 4583370.123"," 4583320.433","41.398971771644","2.18389068579","41.398528349824","2.18447566723",54,13,52,13,"VM","LEPANT, 170, C","00FF00",17
125," 431834.529"," 431837.568"," 4583313.864"," 4583310.752","41.398469731191","2.184553255131","41.398441960758","2.184589954409",54,13,52,13,"VM","LEPANT, 170, C","00FF00",17
125," 431844.714"," 431861.712"," 4583303.433"," 4583286.023","41.398376648325","2.184676250269","41.398221286699","2.184881519297",54,13,52,13,"VM","LEPANT, 170, C","00FF00",17
127," 431888.752"," 431829.648"," 4583439.719"," 4583499.493","41.399607830539","2.185187650844","41.400141172743","2.184473975631",54,13,52,13,"VM","PADILLA, 157, C","00FF00",23
127," 431909.313"," 431892.351"," 4583418.927"," 4583436.081","41.399422309996","2.185435920006","41.399575369957","2.18523110785",54,13,52,13,"VM","PADILLA, 157, C","00FF00",23
128," 431900.555"," 431917.407"," 4583246.229"," 4583228.954","41.39786617475","2.185350587462","41.397712015388","2.185554091838",54,13,52,13,"VM","LEPANT, 150, C","00FF00",12
128," 431900.555"," 431921.009"," 4583246.229"," 4583225.262","41.39786617475","2.185350587462","41.39767906855","2.185597589338",54,13,52,13,"VM","LEPANT, 150, C","00FF00",12
128," 431926.997"," 431932.621"," 4583219.228"," 4583213.463","41.397625230588","2.185669888263","41.397573784501","2.185737803146",54,13,52,13,"VM","LEPANT, 150, C","00FF00",12
128," 431937.267"," 431940.053"," 4583208.398"," 4583205.704","41.397528560109","2.185793941717","41.397504532547","2.18582756691",54,13,52,13,"VM","LEPANT, 150, C","00FF00",12
128," 431942.023"," 431946.309"," 4583204.352"," 4583204.202","41.39749252256","2.18585128136","41.397491534299","2.1859025616",54,13,52,13,"VM","LEPANT, 150, C","00FF00",12
128," 431948.078"," 431951.319"," 4583204.581"," 4583207.491","41.397495097435","2.185923677415","41.397521580424","2.18596211491",54,13,52,13,"VM","LEPANT, 150, C","00FF00",12
130," 431489.229"," 431486.510"," 4583722.932"," 4583720.276","41.402124627321","2.180376895875","41.402100474593","2.180344673147",73,72,,72,"BUS","CONSELL DE CENT, 528  (ISLETA), C","00FFFF",4
130," 431489.243"," 431486.466"," 4583722.946"," 4583720.233","41.402124754604","2.180377061752","41.402100083568","2.180344151708",73,72,,72,"BUS","CONSELL DE CENT, 528  (ISLETA), C","00FFFF",4
130," 431531.967"," 431488.471"," 4583764.676"," 4583724.089","41.40250423171","2.180883385247","41.402134983164","2.180367698135",73,72,,72,"BUS","CONSELL DE CENT, 528  (ISLETA), C","00FFFF",4
131," 431491.379"," 431578.275"," 4583711.704"," 4583740.951","41.402023686422","2.180403883613","41.402294496273","2.181439982648",73,72,,72,"BUS","DIAGONAL, 308 (ILLA), AV","00FFFF",4
132," 431493.091"," 431474.725"," 4583701.318"," 4583695.470","41.401930291603","2.180425536873","41.401876057074","2.180206514679",54,13,52,13,"VM","DIAGONAL, enfront 308 (Adana central), AV","00FF00",18
132," 431580.688"," 431500.345"," 4583729.591"," 4583703.679","41.402192388644","2.181470129614","41.401952173767","2.18051203815",54,13,52,13,"VM","DIAGONAL, enfront 308 (Adana central), AV","00FF00",18
133," 431300.864"," 431310.228"," 4582760.176"," 4582769.150","41.393437568787","2.178232992639","41.393519192238","2.178343967358",54,13,52,13,"VM","AUSIAS MARC, 63, C","00FF00",7
133," 431300.877"," 431310.228"," 4582761.932"," 4582769.150","41.393453385187","2.178232948948","41.393519192238","2.178343967358",54,13,52,13,"VM","AUSIAS MARC, 63, C","00FF00",7
133," 431315.275"," 431334.201"," 4582774.075"," 4582792.309","41.393563979909","2.178403770522","41.393729819121","2.17862805674",54,13,52,13,"VM","AUSIAS MARC, 63, C","00FF00",7
134," 431322.749"," 431304.413"," 4582856.805"," 4582875.690","41.394309719975","2.178483778235","41.394478240465","2.178262336728",54,13,52,13,"VM","ROGER DE FLOR, 87, C","00FF00",7
134," 431336.634"," 431323.155"," 4582842.462"," 4582856.417","41.39418172627","2.178651469619","41.394306260148","2.178488678012",54,13,52,13,"VM","ROGER DE FLOR, 87, C","00FF00",7
134," 431342.931"," 431340.228"," 4582835.967"," 4582838.774","41.39412376707","2.178727518187","41.394148817375","2.178694872047",54,13,52,13,"VM","ROGER DE FLOR, 87, C","00FF00",7
136," 431662.042"," 431664.728"," 4583860.168"," 4583857.440","41.403375338843","2.182428506767","41.40335099761","2.182460943898",54,13,52,13,"VM","CASTILLEJOS, 192, C","00FF00",16
136," 431667.704"," 431691.623"," 4583854.280"," 4583829.646","41.403322790239","2.182496898665","41.403102958431","2.182785790537",54,13,52,13,"VM","CASTILLEJOS, 192, C","00FF00",16
136," 431697.932"," 431722.585"," 4583823.276"," 4583797.821","41.403046123472","2.182861975442","41.402818958768","2.183159737285",54,13,52,13,"VM","CASTILLEJOS, 192, C","00FF00",16
136," 431728.786"," 431734.680"," 4583791.512"," 4583785.426","41.402762663775","2.183234622798","41.402708351099","2.183305810824",54,13,52,13,"VM","CASTILLEJOS, 192, C","00FF00",16
